index,nom_agence,ville,email,site_web,domaine,confiance_actuelle
53,Témoignages,Paris,contact@primasimmobilier.com,https://www.primasimmobilier.com/temoignages/,primasimmobilier.com,MOYENNE
119,ABP: immobilier,Evry,evry@abpweb.fr,https://www.abpweb.fr/,abpweb.fr,MOYENNE
299,AxiHome France Immobilier,Paris,contact@axihomefrance.com,https://www.axihome-france.com/,axihome-france.com,MOYENNE
308,Cabinet SOUSSEN Immobilier,Adresse,cabinet.soussen@wanadoo.fr,https://cabinetsoussenimmobilier.com/,cabinetsoussenimmobilier.com,MOYENNE
309,Maison Mère Immobilier,Boulogne-Billancourt,boulogne@maisonmere-immobilier.fr,https://www.maisonmere-immobilier.fr/,maisonmere-immobilier.fr,MOYENNE
429,Le Lab Immo,Le Havre,contact@lelabimmo.com,https://www.lelabimmo.com/,lelabimmo.com,MOYENNE
433,Min'Immo,Nogent,contact@min-immobilier.fr,https://www.min-immobilier.fr/,min-immobilier.fr,MOYENNE
558,CG Immobilier,Aix,info@cgimmo.com,https://www.cgimmo.com/,cgimmo.com,MOYENNE
628,keystone immobilier,Toulon,contact@keystoneimmobilier.com,https://www.keystoneimmobilier.com/,keystoneimmobilier.com,MOYENNE
647,JPM IMMOBILIER,Cluses,jpmimmobilier@orange.fr,https://www.jpmimmobilier.com/,jpmimmobilier.com,MOYENNE
746,MD Immo,Limoges,agence@md-immo.fr,https://www.md-immo.fr/,md-immo.fr,MOYENNE
748,Notre agence,Saint-Maurice,isabelle.messica@hmimmobilier.com,https://www.hmimmobilier.com/notre-agence,hmimmobilier.com,MOYENNE
805,Notre agence,Paris,info@monreveamoi.com,https://www.monreveamoi.fr/notre-agence,monreveamoi.fr,MOYENNE
834,IT FLAT,Mouvaux,delphine@itflat.immo,https://fr.linkedin.com/company/it-flat,fr.linkedin.com,MOYENNE
867,L'équipage,La Madeleine,contact@stewardimmobilier.fr,https://steward-immobilier.fr/lequipage/,steward-immobilier.fr,MOYENNE
892,HTL,Villeurbanne,contact@htlimmobilier.com,https://www.htlimmobilier.com/,htlimmobilier.com,MOYENNE
934,PRINCES Immobilier,Boulogne-Billancourt,contact@princesimmobilier.com,https://www.princesimmobilier.com/agence-immobiliere-boulogne-billancourt/details/1/,princesimmobilier.com,MOYENNE
986,Actif'immo,Le Blanc-Mesnil,contact@actifimmo93.com,https://www.actifimmo93.com/,actifimmo93.com,MOYENNE
1016,Les Toits Versaillais,Versailles,contact@ltvimmo.com,https://www.lestoitsversaillais.com/,lestoitsversaillais.com,MOYENNE
1018,AGENCE M.A.J.IMMOBILIER,Le Perreux,contact@majimmobilier.com,https://www.majimmobilier.com/,majimmobilier.com,MOYENNE
