email,nom_agence,ville,site_web,site_id
contact@agencelamaison.fr,La Maison Transactions Immobilières,Aulnay,https://www.agencelamaison.fr/,ChIJVVX54Z0U5kcRCa892waa9fI
contact@leonimmobilier.fr,"Léon Immobilier — Agence immobilière Paris 17, 18, 19/20 et ...",Téléphone,https://leonimmobilier.fr/,ChIJBaebnuRv5kcRbjBbVgUw3sU
contact@lagenceparisienne.fr,L'agence Parisienne: Agence immobilière à Paris 16,Paris,https://www.lagenceparisienne.fr/,ChIJz9NVMKl65kcRfjhxdoPeos0
infos@generation-immo.fr,"Génération Immo, agence immobilière Paris 12ème",Paris,https://www.generation-immo.fr/,ChIJAV-xJmpy5kcRBA6jhlsJ4o0
contact@la-bonne-agence.com,La Bonne Agence votre agence immobilière à paris,Grenoble,https://la-bonne-agence.com/index.php/contact/,ChIJRSqTLDtw5kcRFYFyOkl0WXI
contact@hlgestion.fr,HL Gestion,,https://www.hlgestion.fr/,ChIJO3HoG-dz5kcRJTfcjK-WpIY
pitoy@20emeappart.com,Agence immobilière Paris 20ème (75020),Paris,https://www.20emeappart.com/agence/123335___/20eme-appart-gambetta.html,ChIJI51WYpBt5kcRl_R06ErGwbc
km@theplace-tobe.be,Agence immobilière - The Place to Be,,https://www.theplace-tobe.be/,ChIJ_xGWeJHRw0cR2wkx5kZBXMU
contact@laportedeparis.fr,La porte de Paris,Paris,https://www.facebook.com/Laportedeparis/?locale=fr_FR,ChIJYfJLKQ5u5kcRYMmn3hVjSpk
contact@theplacetobefrance.fr,The Place To Be Paris - Catherine Callede,Paris,https://www.facebook.com/www.theplacetobefrance.fr/,ChIJbUIMrkNv5kcRJAs2Dy1fO5M
hello@2c.immo,Société 2C.IMMO à 97424 SAINT-LEU - SIREN 983 814 450,Mulhouse,https://annuaire-entreprises.data.gouv.fr/entreprise/983814450,ChIJg3Nnmen0T2YRYOjjTx1EVG8
contact@city-15-immobilier.fr,city 15 immobilier convention,Paris,https://www.city-15-immobilier.fr/,ChIJ1_FAyGpw5kcRBDVurFtq8yI
donyphane.hadzic@hb-immobilier.com,Equipe,,https://www.hb-immobilier.com/equipe/,ChIJ_xG-eARy5kcR-gEvetqM54w
michel.orivel@orange.fr,1000 et Une Proriétés,Saint Jean,https://www.1000etuneproprietes.com/,ChIJlyC0kSdw5kcRMzavMfZpLdE
perenium@perenium.com,"Perenium, agence immobilière à Paris – administration de ...",Paris,https://www.perenium.eu/,ChIJb2OscjBu5kcR-nLnzvh0Fm0
andre@immobilier-parisien.fr,Présentation de l'équipe,Paris,https://www.immobilier-parisien.fr/notre-equipe,ChIJ20RIN1Bu5kcREclzpmNzgb8
accueil@immopolis.fr,Immopolis Immobilier | Paris,Paris Immopolis,https://www.facebook.com/p/Immopolis-Immobilier-100063769440806/?locale,ChIJPx6HwVpu5kcR4xg-VAza6Pc
sentiermontorgueil@fredelion.com,Agence immobilière Paris 2 FREDēLION Sentier Montorgueil,Paris,https://www.fredelion.com/fr/nos-agences/paris-2-fred%3Flion-sentier-montorgueil/105,ChIJZybL0-Fv5kcRhN1T-yIsXZQ
philippe.hubert@laplace-immobilier.fr,Philippe HUBERT | Agent immobilier,Philippe,https://laplace-immobilier.fr/fr/equipe/38789,ChIJAQDQJwVu5kcR2DkoefW2JpM
agence@paris.immo,PARIS IMMO,,https://www.paris.immo/,ChIJbeU12VBu5kcRfZ0mKXhxq4E
dp@parisvendomeluxury.com,paris vendome luxury international realty,,https://www.fnaim-grand-paris.fr/agence-immobiliere-1225-paris-vendome-luxury-international-realty-paris-01/1/,ChIJ6S5xKKRv5kcRN9vJf-eO9DQ
gestion@paris-seine-immobilier.com,paris seine immobilier,Paris Le,https://www.paris-seine-immobilier.com/,ChIJx3oWWtJx5kcRBgjyHqCCDO8
contact@immobilierab.fr,AB immobilier: Agences immobilières sur Saint-Germain-sur ...,Paris,https://www.immobilier-ab.fr/,ChIJq1z6Yltv5kcR03tFxbYmG2s
melisa@parisetailleurs.fr,Paris et Ailleurs,Paris,https://www.parisetailleurs.fr/,ChIJT0J4fU9x5kcRBicBAaLGL7E
contact@bienaparis.fr,Valerie Frelat - Fondatrice de l'Agence Bien à Paris et ...,Paris Contacter,https://fr.linkedin.com/in/valeriefrelat,ChIJDabMqhpdbEIRvaIKD9CAM_8
