zip,site,email,nom_gerant,nb_annonces,taille_equipe,crm_detecte
pages_html_batch00001_20260629_222824.zip,ChIJof7PURZu5kcRNNLCgBiBl5A,contact@jsbimmo.com,,,,
pages_html_batch00001_20260629_222824.zip,ChIJAyjOllDHyRIRYs2jSBocGq8,"dpo@agence-etoile.com, aperrissel@agence-etoile.com, qualite@agence-etoile.com, f.champain@agence-etoile.com, vente.aix@agence-etoile.com, contact.location@agence-etoile.com, syndic.aix@agence-etoile.com, f.alibert@agence-etoile.com",,,80,
pages_html_batch00001_20260629_222824.zip,ChIJVVX54Z0U5kcRCa892waa9fI,contact@agencelamaison.fr,,55,,
pages_html_batch00001_20260629_222824.zip,ChIJBaebnuRv5kcRbjBbVgUw3sU,"contact@leonimmobilier.fr, paris18@leonimmobilier.fr",,,,
pages_html_batch00001_20260629_222824.zip,ChIJz9NVMKl65kcRfjhxdoPeos0,contact@lagenceparisienne.fr,,,,
pages_html_batch00001_20260629_222824.zip,ChIJoXd7mGVy5kcRcAil0q2se7A,lesalleesdelimmo@gmail.com,,,,
pages_html_batch00001_20260629_222824.zip,ChIJAV-xJmpy5kcRBA6jhlsJ4o0,"infos@generation-immo.fr, Infos15@generation-immo.fr",,,,
pages_html_batch00001_20260629_222824.zip,ChIJRSqTLDtw5kcRFYFyOkl0WXI,contact@la-bonne-agence.com,,,,
pages_html_batch00001_20260629_222824.zip,ChIJp6iHnlh25kcRNvoAKwS-oVE,rgpd@lesagencesprimo.com,,,,
pages_html_batch00001_20260629_222824.zip,ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"qcq.cnevf@cnevf.se, flyivr.irezrhyra@cnevf.se, byvivre.tnl@cnevf.se, nomprenom@domaine.fr",,,,
pages_html_batch00001_20260629_222824.zip,ChIJT5SqUGtu5kcRZ-Q2Blh_7_w,e.hostein@ernest-et-associes.com,,,,
pages_html_batch00001_20260629_222824.zip,ChIJO3HoG-dz5kcRJTfcjK-WpIY,"contact@hlgestion.fr, contcat@hlgestion.fr",,2025,,
pages_html_batch00001_20260629_222824.zip,ChIJI51WYpBt5kcRl_R06ErGwbc,pitoy@20emeappart.com,,,,
pages_html_batch00001_20260629_222824.zip,ChIJ_xGWeJHRw0cR2wkx5kZBXMU,km@theplace-tobe.be,,,,
pages_html_batch00001_20260629_222824.zip,ChIJnVeTzr-NVUER3xFGp1AS66M,"contact@leomolinet.com, contact@laparisienneimmobiliere.fr",,2025,,
pages_html_batch00001_20260629_222824.zip,ChIJYfJLKQ5u5kcRYMmn3hVjSpk,contact@laportedeparis.fr,,5,,
pages_html_batch00001_20260629_222824.zip,ChIJbUIMrkNv5kcRJAs2Dy1fO5M,"contact@theplacetobefrance.fr, cc@theplacetobefrance.fr, contact@theplacetobefrance.com",,2019,,
pages_html_batch00001_20260629_222824.zip,ChIJg3Nnmen0T2YRYOjjTx1EVG8,hello@2c.immo,,,,
pages_html_batch00001_20260629_222824.zip,ChIJF-0q92tx5kcRW_3rY7XsuKU,nborge@valeurimmoparis.com,,13,,
