nom_agence,email,site_web,siren,denomination,etat,dirigeant,activite
La Maison Transactions Immobilières,contact@agencelamaison.fr,https://www.agencelamaison.fr/,823238886,LA MAISON - TRANSACTIONS IMMOBILIERES,A,IMEN BENKHALED,68.20B
La porte de Paris,contact@laportedeparis.fr,https://www.facebook.com/Laportedeparis/?locale=fr_FR,443600549,LA PORTE DE PARIS,A,CÉDRIC PIERRE ROGER PREVOST,68.31Z
Procomm | Paris,contact@procomm.fr,https://www.facebook.com/Reseau.PROCOMM/?locale=fr_FR,798380051,PARIS IMMO,A,SEBASTIEN VAILLANT,68.10Z
paris seine immobilier,gestion@paris-seine-immobilier.com,https://www.paris-seine-immobilier.com/,403088461,PARIS SEINE IMMOBILIER,A,FREDERIC JAUBERT,68.31Z
Paris et Ailleurs,melisa@parisetailleurs.fr,https://www.parisetailleurs.fr/,842358731,PARIS ET AILLEURS,A,MELISA ABOU,68.31Z
Ar Immobilier,ar.immobilier.rixheim@gmail.com,https://www.arimmo.fr/,831703731,AR IMMOBILIER (AR IMMOBILIER),A,ALEXANDRE SEBASTIEN HADRIEN RATEAU,68.31Z
ALPHA CONSEIL IMMOBILIER,agence.conseil@wanadoo.fr,https://www.alphaconseil-immobilier.fr/agences/alpha-conseil-immobilier/1,424255982,ALPHA CONSEIL IMMOBILIER,A,EMILIE BAJAN (BAJAN),68.31Z
ABI IMMOBILIER,contact@abi-immo.com,https://www.abi.immo/,523445922,ABI IMMOBILIER,A,MABROUKA ABIDALLAH,68.20B
IMM'OBJECTIF,patrick@immobjectif-paris.com,https://www.immobjectif-paris.com/,485055891,IMM'OBJECTIF (IMM'OBJECTIF),A,PATRICK BRISOT,68.31Z
La Tour Immo Gestion,contactgestion@latourimmo.com,https://www.latourimmogestion.com/,421419870,LA TOUR IMMO GESTION (LA TOUR IMMO GESTION),A,DAVID GIAMI,68.20B
AGENCE DUMARAIS,immo@agencedumarais.fr,https://www.agencedumarais.fr/,879350692,AGENCE DUMARAIS,A,GREGORY MACHET,68.31Z
Beryl Immobilier,contact@berylimmobilier.fr,https://berylimmobilier.fr/,399082551,BERYL IMMOBILIER,A,GILLES ANGE ZANA,68.32A
Agence Paris Est,contact@agence-paris-est.com,https://www.agence-paris-est.com/,480400373,AGENCE PARIS EST,A,ANA PAULA FREITAS (VELOSO),68.31Z
Masson'i Immobilier,i.masson@massoniimmobilier.com,https://www.massoniimmobilier.com/,908152564,MASSON'I IMMOBILIER (MASSON I IMMOBILIER),A,IGOR MASSON,68.31Z
Edelweiss Property,contact@edelweiss-property.fr,https://edelweiss-property.fr/,524876240,EDELWEISS PROPERTY (EDELWEISS PROPERTY),A,YOUSSEF EL GHARBAOUI,68.31Z
ALEN JOHNSON,contact@alenjohnson.fr,https://www.facebook.com/profile.php?id=100066625274432&locale=eu_ES,811877323,ALEN JOHNSON,A,,68.31Z
